Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,Year,Price/m2
Spain,Madrid,Retiro,035 Jerónimos,Jerónimos,,,,2003,4665.0
Spain,Madrid,Retiro,036 Niño Jesús,Niño Jesús,,,,2003,4025.0
Spain,Madrid,Salamanca,041 Recoletos,Recoletos,,,,2003,5584.0
Spain,Madrid,Salamanca,042 Goya,Goya,,,,2003,4194.0
Spain,Madrid,Salamanca,043 Fuente del Berro,Fuente del Berro,,,,2003,3751.0
Spain,Madrid,Salamanca,044 Guindalera,Guindalera,,,,2003,3575.0
Spain,Madrid,Salamanca,045 Lista,Lista,,,,2003,4192.0
Spain,Madrid,Salamanca,046 Castellana,Castellana,,,,2003,4983.0
Spain,Madrid,Chamartín,051 El Viso,El Viso,,,,2003,4432.0
Spain,Madrid,Chamartín,052 Prosperidad,Prosperidad,,,,2003,3720.0
Spain,Madrid,Chamartín,053 Ciudad Jardín,Ciudad Jardín,,,,2003,3827.0
Spain,Madrid,Chamartín,054 Hispanoamérica,Bernabéu-Hispanoamérica,,,,2003,4462.0
Spain,Madrid,Chamartín,055 Nueva España,Nueva España,,,,2003,5003.0
Spain,Madrid,Chamartín,056 Castilla,Castilla,,,,2003,3806.0
Spain,Madrid,Tetuán,061 Bellas Vistas,Bellas Vistas,,,,2003,3210.0
Spain,Madrid,Tetuán,062 Cuatro Caminos,Cuatro Caminos,,,,2003,3851.0
Spain,Madrid,Tetuán,063 Castillejos,Cuzco-Castillejos,,,,2003,3943.0
Spain,Madrid,Tetuán,064 Almenara,Ventilla-Almenara,,,,2003,3382.0
Spain,Madrid,Tetuán,065 Valdeacederas,Valdeacederas,,,,2003,3257.0
Spain,Madrid,Tetuán,066 Berruguete,Berruguete,,,,2003,3208.0
Spain,Madrid,Chamberí,071 Gaztambide,Gaztambide,,,,2003,4046.0
