Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,Madrid,Ciudad Lineal,153 Quintana,Quintana,,,,2344,2488,3371,3403,3894,4033,3861,3322,3204,2980,2666,2244,2246,2071,2103,2174
Spain,Madrid,Ciudad Lineal,154 Concepción,Concepción,,,,2477,3451,3939,3727,3792,4110,3975,3716,3496,3434,3187,2960,2570,2472,2313,2464
Spain,Madrid,Ciudad Lineal,155 San Pascual,San Pascual,,,,2788,3115,3327,4397,4224,4295,4397,4352,4049,3771,3746,3299,3085,2939,2929,3032
Spain,Madrid,Ciudad Lineal,156 San Juan Bautista,San Juan Bautista,,,,2894,3583,4042,4567,4577,4762,4526,4773,4643,4395,4335,3789,3468,3425,3350,3800
Spain,Madrid,Ciudad Lineal,157 Colina,Colina,,,,2761,3545,4165,4079,4523,4605,4612,,4146,4248,4039,3723,3259,3253,3138,3158
Spain,Madrid,Ciudad Lineal,158 Atalaya,Atalaya,,,,2961,4062,4127,4529,4898,4978,5061,,,,,,,,,
Spain,Madrid,Ciudad Lineal,159 Costillares,Costillares,,,,2751,3429,3624,3782,4246,4717,4474,4396,4223,4309,3930,3501,3455,3211,3291,3386
Spain,Madrid,Hortaleza,161 Palomas,Palomas,,,,2507,2839,3672,4156,4333,4885,5124,5250,5425,5075,4405,4032,3736,3864,3686,
Spain,Madrid,Hortaleza,162 Piovera,Conde Orgaz-Piovera,,,,2796,3273,4706,4560,4879,5246,5432,6086,5419,5143,4952,4451,,,4096,4281
Spain,Madrid,Hortaleza,163 Canillas,Canillas,,,,2290,2584,3117,3514,3863,4006,4088,3678,3473,3245,3101,2664,2623,2456,2299,2521
Spain,Madrid,Hortaleza,164 Pinar del Rey,Pinar del Rey,,,,2207,2745,3005,3261,3506,3843,3754,3411,3317,3224,2922,2519,2287,2107,2162,2178
Spain,Madrid,Hortaleza,165 Apóstol Santiago,Apóstol Santiago,,,,1989,2622,2735,3083,3252,3600,3498,3093,3054,2778,2555,2234,1975,1627,1684,2074
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,PAU Sanchinarro,40.493694,-3.660339,,,,,,,,,4103,3923,3923,3608,3607,3220,3280,3472
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,Valdebebas – Valdefuentes,40.482496,-3.616277,,,,,,,,,,,,,2377,2607,2672,
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,Virgen del Cortijo – Manoteras,40.487688,-3.660896,,,,,,,,,3088,3058,2808,2472,2531,2425,2495,2418
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,El Encinar de los Reyes,40.507724,-3.644881,,,,,,,,,,,,,,,,
Spain,Madrid,Villaverde,171 San Andrés,San Andrés,,,,1468,1922,2239,2685,2800,3153,2985,2587,2351,2108,1797,1563,1321,1193,1195,1291
Spain,Madrid,Villaverde,172 San Cristóbal,San Cristóbal,,,,1159,1750,2119,2359,2312,2777,2796,2171,2028,1707,1400,1084,957,912,925,961
Spain,Madrid,Villaverde,173 Butarque,Butarque,,,,1347,1547,,2789,2779,3039,3065,2656,2559,2377,2178,1832,1784,1515,1594,1772
Spain,Madrid,Villaverde,174 Los Rosales,Los Rosales,,,,1450,2060,2310,2732,2975,3071,3064,2753,2558,2305,1951,1707,1492,1322,1302,1500
Spain,Madrid,Villaverde,175 Los Ángeles,Los Ángeles,,,,1476,1959,2314,2782,2908,3095,2992,2566,2434,2203,1835,1532,1457,1271,1357,1404
Spain,Madrid,Villa de Vallecas,181 Casco Histórico de Vallecas,Casco Histórico de Vallecas,,,,1546,2024,2592,2755,3084,3460,3375,3063,2603,2308,2085,1850,1758,1445,1435,1543
Spain,Madrid,Villa de Vallecas,181 Casco Histórico de Vallecas,Casco Histórico de Vallecas,Ensanche de Vallecas – Valdecarros,40.368166,-3.610482,,,,,,,,,3109,3174,2962,2661,2578,2299,,2322
Spain,Madrid,Villa de Vallecas,182 Santa Eugenia,Santa Eugenia,,,,1654,1916,2498,2587,3048,3207,3144,2733,2545,2479,2320,1967,1855,1667,1744,1629
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,,,,2011,2160,2977,3136,3471,3446,3432,3080,,,2213,1779,,1451,1475,1545
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,Valdebernardo – Valderribas,40.401672,-3.621428,,,,,,,,,2914,2926,2650,2172,2238,2210,2154,2333
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,El Cañaveral - Los Berrocales,40.401441,-3.552554,,,,,,,,,,,,,,,,
Spain,Madrid,Vicálvaro,192 Ambroz,Ambroz,,,,1618,1958,,2980,3059,3225,3225,2688,2584,2485,2134,1685,1447,1359,1314,1408
Spain,Madrid,San Blas-Canillejas,201 Simancas,Simancas,,,,2152,2768,3043,3391,3771,3773,3640,3435,3210,2990,2696,2373,2161,1928,1955,2153
Spain,Madrid,San Blas-Canillejas,202 Hellín,Hellín,,,,1613,2306,2479,2745,3029,2967,3076,,,,1849,1579,,1203,,
Spain,Madrid,San Blas-Canillejas,203 Amposta,Amposta,,,,1645,1810,2558,3012,2961,3545,3470,,,2232,1909,1576,1363,1225,1145,1336
Spain,Madrid,San Blas-Canillejas,204 Arcos,Arcos,,,,1601,2189,2719,2737,3113,3303,3382,2893,2550,2452,2103,1701,1546,1330,1355,1557
Spain,Madrid,San Blas-Canillejas,205 Rosas,Rosas,,,,2134,2949,3307,3558,3772,3927,3815,3562,3460,3283,3061,2652,2597,2446,2545,2574
Spain,Madrid,San Blas-Canillejas,206 Rejas,Rejas,,,,1525,2251,3140,3200,3587,3833,3708,3381,3187,3149,2966,2574,2625,2487,2518,2505
Spain,Madrid,San Blas-Canillejas,207 Canillejas,Canillejas,,,,1849,2132,2469,2906,3185,3382,3318,2865,2706,2512,2451,1986,1950,1775,1617,1748
Spain,Madrid,San Blas-Canillejas,208 El Salvador,Salvador,,,,2305,2898,3386,3512,3877,3953,3829,,,,3551,3206,2775,2634,2569,2880
Spain,Madrid,Barajas,211 Alameda de Osuna,Alameda de Osuna,,,,1995,2559,2812,3226,3558,3744,3752,3504,3283,3263,3057,2817,2787,2612,2583,2602
Spain,Madrid,Barajas,212 Aeropuerto,Aeropuerto,,,,1110,,,,3479,3542,,2853,,,,,,,,
Spain,Madrid,Barajas,213 Casco Histórico de Barajas,Casco Histórico de Barajas,,,,2581,,2865,3218,3022,3388,3632,,,,,,,1991,,
Spain,Madrid,Barajas,214 Timón,Timón,,,,2254,3019,2908,3389,3567,3945,3848,3512,3337,3360,3100,2703,,2433,2431,
Spain,Madrid,Barajas,215 Corralejos,Campo de las Naciones-Corralejos,,,,1927,3054,3685,3959,4232,4416,4391,4083,4191,4381,3939,3640,3434,3426,3262,3331
